"player_id","team_id","general_position","minutes_played","shots","shots_on_target","goals","xgoals","xplace","goals_minus_xgoals","key_passes","primary_assists","xassists","primary_assists_minus_xassists","goals_plus_primary_assists","xgoals_plus_xassists","points_added","xpoints_added","player_name","birth_date","weight_lb","nationality","season_name","primary_broad_position","primary_general_position","secondary_general_position","secondary_broad_position","height_cm"
"9vQ2VamQK6","kRQabn8MKZ","ST",1001,27,5,2,2.4218,-0.9901,-0.4218,8,1,0.7132,0.2868,3,3.135,0.8879,1.8345,"Andrew Wiedeman","1989-08-22",165,"USA","2013, 2014","FW","ST","W","FW",180
"9vQ2VxoQK6","kRQand1MKZ","W",468,12,3,0,0.4994,-0.3589,-0.4994,3,0,0.4783,-0.4783,0,0.9777,0,0.1637,"Bashkim Kadrii","1991-07-09",157,"Denmark","2017","MF","W","ST","FW",175
"9vQ2X1x5K6","kRQabn8MKZ","GK",681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Julio César","1979-09-03",176,"Brazil","2014","GK","GK","GK","GK",185
"9vQ2x7r5K6","lgpMOvnQzy","W",2586,123,55,22,14.7385,5.5705,7.2615,36,4,3.0094,0.9906,26,17.7479,13.2241,9.7815,"Camilo Sanvezzo","1988-07-21",157,"Brazil","2013","FW","W","ST","FW",170
"9vQ2XzY5K6","19vQ2095K6","CM",724,0,0,0,0,0,0,3,1,0.4966,0.5034,1,0.4966,0,0,"Clyde Simms","1982-08-21",168,"USA","2013","MF","CM","DM","MF",177
"9vQ2YEmqK6","EKXMeX3Q64","GK",1341,0,0,0,0,0,0,1,0,0.0414,-0.0414,0,0.0414,0,0,"Rafael Romo","1990-02-25",187,"Venezuela","2022","GK","GK","GK","GK",198
"9vQ2Z1GaQK","WBLMvYAQxe","ST",1424,40,16,4,4.2296,-0.3984,-0.2296,11,1,0.7499,0.2501,5,4.9794,1.8246,2.829,"Nathan Fogaça","1999-06-09",171,"Brazil","2022, 2023, 2024","FW","ST","W","FW",177
"9vQ2zAYQK6","EKXMeX3Q64, pzeQZ6xQKw, 9z5k7Yg5A3","W",10229,168,74,28,27.4359,1.0039,0.5641,209,23,23.9472,-0.9472,51,51.3831,14.8151,16.5904,"Sebastien Le Toux","1984-01-10",157,"France","2013, 2014, 2015, 2016, 2017","MF","W","ST","FW",182
"9vQ2ZdlYQK","jYQJ19EqGR","ST",102,1,1,0,0.0738,0.0458,-0.0738,1,0,0.106,-0.106,0,0.1797,0,0.0555,"Alfonso Ocampo-Chavez","2002-03-25",128,"USA","2019","FW","ST","W","FW",175
"9vQ2ZdoLQK","wvq9B9wQWn","FB",53,0,0,0,0,0,0,1,0,0.122,-0.122,0,0.122,0,0,"Selmir Pidro","1998-03-03",161,"Bosnia and Herzegovina","2023","DF","FB","WB","DF",178
"9vQ2ZDwaQK","lgpMOvnQzy","CM",594,8,1,0,0.6194,-0.489,-0.6194,11,1,1.2098,-0.2098,1,1.8292,0,0.2937,"J.C. Ngando","1999-11-20",161,"Cameroon","2023, 2025","MF","CM","DM","MF",177
"9vQ2ZemeQK","YgOMngl5wN","AM",37,2,1,0,0.5574,-0.082,-0.5574,1,0,0.121,-0.121,0,0.6784,0,0.5401,"Mac Steeves","1994-07-31",205,"USA","2018","MF","AM","ST","FW",190
"9vQ2ZEYoQK","Vj58weDM8n","CB",1397,3,1,0,0.1222,-0.0699,-0.1222,1,0,0.3074,-0.3074,0,0.4296,0,0.0895,"Strahinja Tanasijević","1997-06-12",161,"Serbia","2024, 2025","DF","CB","FB","DF",182
"9vQ2ZjbmQK","kRQabn8MKZ, lgpMOvnQzy","W",2932,47,15,2,3.1723,-1.2476,-1.1723,24,6,2.6953,3.3047,8,5.8676,1.4069,1.7895,"Jayden Nelson","2002-09-26",141,"Canada","2020, 2021, 2022, 2025","MF","W","ST","FW",175
"9vQ2ZlkaQK","KAqBN0Vqbg","FB",462,3,1,0,0.2164,0.0087,-0.2164,5,0,0.6356,-0.6356,0,0.8519,0,0.1293,"Matthew Edwards","2003-02-17",174,"USA","2024, 2025","DF","FB","WB","DF",177
"9vQ2ZNGLQK","NPqxKXZ59d","CM",3017,46,17,7,4.973,-0.5335,2.027,54,8,4.8927,3.1073,15,9.8657,3.1973,2.8639,"Ben Bender","2001-03-07",161,"USA","2022, 2023, 2024","MF","CM","DM","MF",177
"9vQ2ZoR7QK","mvzqoLZQap","FB",933,17,3,1,1.6235,-0.4456,-0.6235,10,1,1.1307,-0.1307,2,2.7543,0.0416,0.7522,"Andrés Herrera","1998-11-03",161,"Argentina","2024, 2025","DF","FB","WB","DF",178
"9vQ2ZrB1QK","eVq3ya6MWO","W",1554,29,12,3,3.508,0.1811,-0.508,18,0,2.3212,-2.3212,3,5.8292,0.4462,1.9937,"Stipe Biuk","2002-12-26",154,"Croatia","2023","FW","W","ST","FW",173
"9vQ2Zrj1QK","kRQabn8MKZ","W",1440,26,15,3,3.9562,-0.1031,-0.9562,9,2,1.2704,0.7296,5,5.2266,1.6059,1.7269,"Ifunanyachi Achara","1997-09-28",161,"Nigeria","2020, 2021, 2022","MF","W","ST","FW",177
"9vQ2ZWw1QK","eVq3ya6MWO","CM",115,0,0,0,0,0,0,2,0,0.1929,-0.1929,0,0.1929,0,0,"Odin Thiago Holm","2003-01-18",154,"Norway","2025","MF","CM","DM","MF",180
"9vQ2Zx1xQK","EKXMeX3Q64","AM",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Azaad Liadi","1998-05-14",185,"USA","2022","MF","AM","W","FW",185
"9vQ2ZyAaQK","APk5LGOMOW","CB",3046,5,1,1,0.3691,0.3604,0.6309,5,1,0.7662,0.2338,2,1.1354,0.5117,0.23,"Fernando Álvarez","2003-08-24",180,"USA","2023, 2024, 2025","DF","CB","FB","DF",186
"9Yqd2xmMvJ","pzeQZ6xQKw, Z2vQ1xlqrA","CM",6223,131,56,19,15.5483,0.2573,3.4517,108,6,8.7134,-2.7134,25,24.2617,7.4084,7.8385,"Felipe Gutiérrez","1990-10-08",141,"Chile","2018, 2019, 2022, 2023","MF","CM","DM","MF",175
"9Yqd4Y7qvJ","EKXMeX3Q64, 0KPqjA456v, APk5LGOMOW, X0Oq66zq6D","ST",9015,262,92,22,31.5033,-7.861,-9.5033,131,14,13.4362,0.5638,36,44.9395,15.3209,22.3053,"Quincy Amarikwa","1987-10-29",181,"USA","2013, 2014, 2015, 2016, 2017, 2018, 2019","FW","ST","W","FW",175
